Component,Status,In_Src,In_Docs,In_Papers,Documented_Only,Code_Only,Vaporware,Evidence
IF.yologuard,fully_integrated,YES,YES,YES,NO,NO,NO,"src/infrafabric/core/security/yologuard.py - 672 LOC, SecretRedactorV3 class"
IF.librarian,code_only,YES,NO,NO,NO,YES,NO,"src/infrafabric/core/services/librarian.py - 366 LOC, GeminiLibrarian class"
IF.ground,documented_only,NO,YES,YES,YES,NO,NO,"IF-foundations.tex (lines 14-96, 85-515) - 8 philosophers ground this"
IF.search,documented_only,NO,YES,YES,YES,NO,NO,"IF-foundations.tex (519-855) - Eight-pass methodology, zero automation"
IF.persona,documented_only,NO,YES,YES,YES,NO,NO,"IF-foundations.tex (909-1034) - Bloom patterns, no runtime linkage"
IF.armour,documented_only,NO,YES,YES,YES,NO,NO,"IF-armour.tex - Four-tier spec, no code"
IF.witness,documented_only,NO,YES,YES,YES,NO,NO,"IF-witness.tex (1251-1364) - MARL tooling absent, IF.forge blocker"
IF.optimise,documented_only,NO,YES,YES,YES,NO,NO,"ANNEX-N-IF-OPTIMISE-FRAMEWORK.md - token accounting service missing"
IF.guard,evaluation_contradiction,NO,YES,NO,YES,NO,NO,"Evaluation claims 73% implemented; no src/ code found - FALSE POSITIVE"
IF.citate,evaluation_contradiction,NO,YES,NO,YES,NO,NO,"Evaluation claims 58% implemented; no src/ code found - FALSE POSITIVE"
IF.router,vaporware,NO,YES,YES,NO,NO,YES,"README.md:153-159 - NVLink routing, no spec"
IF.memory,vaporware,NO,YES,YES,NO,NO,YES,"README.md:153-159 - mentioned only"
IF.trace,vaporware,NO,YES,YES,NO,NO,YES,"README.md:153-159 - immutable logging, no schema"
IF.pulse,vaporware,NO,YES,YES,NO,NO,YES,"README.md:153-159 - health monitoring only"
IF.ceo,vaporware,NO,YES,YES,NO,NO,YES,"README.md:149-151 - annex reference missing"
IF.vesicle,vaporware,NO,YES,YES,NO,NO,YES,"README.md:149-150 - neurogenesis metaphor (89.1% approval)"
IF.kernel,vaporware,NO,YES,YES,NO,NO,YES,"README.md:151 - KERNEL integration promised, annex missing"
IF.swarm,vaporware,NO,YES,YES,NO,NO,YES,"README.md - 2/3 evaluators: mentioned but no spec"
IF.sam,vaporware_with_design,NO,YES,NO,YES,NO,NO,"Design exists (EVALUATION_QUICKSTART.md) - P1 priority, 1-2 weeks"
IF.chase,vaporware,NO,YES,YES,NO,NO,YES,"IF-vision.tex - Police chase analogy (97.3% approval)"
IF.reflect,vaporware,NO,YES,YES,NO,NO,YES,"IF-vision.tex - Blameless learning"
IF.garp,vaporware,NO,YES,YES,NO,NO,YES,"IF-vision.tex - Singapore Traffic Police model"
IF.quiet,vaporware,NO,YES,YES,NO,NO,YES,"Multiple papers - Stoic prudence, no implementation"
IF.constitution,vaporware,NO,YES,YES,NO,NO,YES,"IF-vision.tex - Governance mechanism"
IF.federate,vaporware,NO,YES,YES,NO,NO,YES,"IF-vision.tex - Voluntary coordination"
IF.arbitrate,vaporware,NO,YES,YES,NO,NO,YES,"IF-vision.tex - Resource allocation"
IF.resource,vaporware,NO,YES,YES,NO,NO,YES,"IF-vision.tex - Carrying capacity monitors"
IF.simplify,vaporware,NO,YES,YES,NO,NO,YES,"IF-vision.tex - Tainter's Law"
IF.collapse,vaporware,NO,YES,YES,NO,NO,YES,"IF-vision.tex - Civilizational collapse patterns"
IF.forge,vaporware,NO,YES,YES,NO,NO,YES,"IF-witness.tex - BLOCKER for IF.witness (stage automation)"
IF.marl,vaporware,NO,YES,YES,NO,NO,YES,"IF-witness.tex - Multi-agent RL framework"
IF.mcp,vaporware,NO,YES,NO,NO,NO,YES,"docs/evidence - MCP integration reference"
IF.core,vaporware,NO,YES,NO,NO,NO,YES,"docs/evidence - Core component vague ref"
IF.amplify,vaporware,NO,YES,NO,NO,NO,YES,"docs/evidence - Amplification component"
IF.council,vaporware,NO,YES,YES,NO,NO,YES,"Guardian Council governance - no exec logic"
IF.methodology,vaporware,NO,YES,NO,NO,NO,YES,"General methodology reference only"
IF.pursuit,vaporware,NO,YES,YES,NO,NO,YES,"IF-vision.tex (once) - minimal reference"
OCRWorker,stub_only,YES,YES,NO,NO,YES,NO,"src/infrafabric/core/workers/ocr_worker.py - 50 LOC stub with NotImplementedError"
