file,size_bytes
.gitignore,127
IF-armour.md,48481
IF-foundations.md,77405
IF-vision.md,34354
IF-witness.md,41205
INFRAFABRIC-COMPLETE-DOSSIER-v11.md,73243
README.md,23374
annexes/ANNEX-N-IF-OPTIMISE-FRAMEWORK.md,17765
annexes/ANNEX-O-PRECURSOR-CONVERSATION.md,17043
annexes/ANNEX-P-GPT5-REFLEXION-CYCLE.md,16893
annexes/COMPLETE-SOURCE-INDEX.md,27315
annexes/ENGINEERING-BACKLOG-GPT5-IMPROVEMENTS.md,28498
annexes/infrafabric-IF-annexes.md,170759
docs/evidence/EVALUATION_FILES_SUMMARY.md,6389
docs/evidence/EVALUATION_QUICKSTART.md,5021
docs/evidence/EVALUATION_WORKFLOW_README.md,6683
docs/evidence/INFRAFABRIC_COMPREHENSIVE_EVALUATION_PROMPT.md,18287
docs/evidence/INFRAFABRIC_EVAL_PASTE_PROMPT.txt,11584
docs/evidence/merge_evaluations.py,12631
papers/ARXIV-SUBMISSION-README.md,29916
papers/IF-armour-arxiv-submission.tar.gz,21675
papers/IF-armour.tex,69486
papers/IF-foundations-arxiv-submission.tar.gz,43476
papers/IF-foundations.tex,127725
papers/IF-vision-arxiv-submission.tar.gz,15958
papers/IF-vision.tex,46792
papers/IF-witness-arxiv-submission.tar.gz,17677
papers/IF-witness.tex,53848
philosophy/IF.philosophy-database.md,38333
philosophy/IF.philosophy-database.yaml,44478
philosophy/IF.philosophy-queries.md,43809
philosophy/IF.philosophy-table.md,33005
